Adress,Latitude,Longitude,Lat(Dec),Long(Dec),pH,Turbidity,TDS,Alkalinity,Total_Hardness,Chloride,Fluoride,Nitrate-Nitrogen(NO₃-N),Iron,Manganese,Arsenic,Aluminum
2.Manik nagor-2, 23°43'22'' , 90°25'45'' ,23.72,90.43,6.83,0.48,221,150,130,45,0.54,1.2,0.13,0.13,<0.01,0
8.Manik nagar-3, 23°43'20'' , 90°26'06'' ,23.72,90.44,6.88,3.89,186.5,180,116,10,0.41,1,0.51,0.17,<0.01,0
49.Banga Bhaban park, 23°43'23'' , 90°24'53'' ,23.72,90.41,7,5,183.2,185,134,11,0.26,0.5,0.59,0.3,<0.01,0
23.Baldha garden, 23°43'04'' , 90°25'09'' ,23.72,90.42,6.88,-,-,-,-,17,0.44,0.6,1,0.27,<0.01,-
41.gendaria-1, 23°42'22'' , 90°25'15'' ,23.71,90.42,6.75,-,-,-,-,21,0.5,0.4,0.61,0.27,<0.01,-
11.GOPI BAGH, 23°43'20'' , 90°25'26'' ,23.72,90.42,6.84,7.43,188.2,140,146,26,0.52,0.9,1.61,0.46,<0.01,0.01
63.Kazalar par-2, 23°43'14'' , 90°26'37'' ,23.72,90.44,7.16,-,-,-,-,16,0.37,0.8,0.66,0.17,<0.01,-
"51.MANDA-G,M.T", 23°43'44'' , 90°26'05'' ,23.73,90.43,7.07,3.34,175.3,200,124,11,0.05,0.5,0.67,0.13,<0.01,0
Manda Gmt, 23°43'41'' , 90°26'44'' ,23.73,90.45,6.97,2.61,168.1,190,150,10,0.4,0.6,0.55,0.22,<0.01,0
59.KAZLAR PAR -1, 23°42'47'' , 90°26'31'' ,23.71,90.44,6.9,2.37,121.7,110,80,15,0.37,-,0.76,0.26,<0.01,0
51.SECTION 11 A-1,23°49'07'',90°22'04'',23.82,90.37,6.92,3.38,162,175,102,11,0.09,0.7,0.3,0.3,<0.01,0.03
92.DOHS-4,"23°50‘24""","90°22'33""",23.84,90.38,6.95,2.49,150.2,150,100,11,0.16,0.9,0.11,0.17,<0.01,0
72.Barontek water pump,"23°49‘55""","90°23‘20""",23.83,90.39,6.89,2.2,128,125,98,10,0.44,0.4,0.17,0.17,<0.01,0
93.DOHS-3,"23°50‘23""","90°22'00""",23.84,90.37,7,4.59,158.7,155,102,10,0.29,0.7,0.93,0.24,<0.01,0
90.Shahgofta housing-1,"23°49‘51""","90°22‘50""",23.83,90.38,6.94,2.68,171,175,180,18,0.1,1.3,0.44,0.11,<0.01,0
26.North Kazipara-8,23°48'04'',90°22'27'',23.8,90.37,7.25,5,165,175,100,10,0.25,0.5,0.84,0.11,<0.01,0
73.Buniabadh-1,23°49‘08'',"90°22‘48""",23.82,90.38,6.95,2.34,106.7,105,60,13,0.05,0.6,0.59,0.09,<0.01,0
9.Kachukhet water pump,"23°47'35""","90°23'20""",23.79,90.39,6.97,-,-,-,-,10,0.28,0.9,0.2,0.23,<0.01,-
68.Lalashorai Water pump,"23°47‘18""","90°23‘19""",23.79,90.39,7.24,5,153.8,160,102,11,0.37,0.3,0.96,0.13,<0.01,0
Manikdii Amtola water pump,"23°49‘30""","90°23'28""",23.83,90.39,6.96,-,-,-,-,11,0.52,-,0.74,0.3,<0.01,-
81.Section-12-D-ciramik pump,"23°49‘38""","90°22‘27""",23.83,90.37,6.99,-,-,-,-,11,0.34,-,0.13,0.15,<0.01,-
64.Humayan Road,"23°46'09""","90°22'03""",23.77,90.37,6.94,0.59,148.8,175,118,18,0.55,0.9,0.64,0.18,<0.01,0.01
